end_country,flights,month
HU,4390,202211
DZ,4078,202211
BS,3998,202211
KZ,3929,202211
DO,3752,202211
KW,3620,202211
BH,3169,202211
RS,2897,202211
IS,2828,202211
LU,2739,202211
PK,2674,202211
PA,2565,202211
BG,2425,202211
GT,2328,202211
LV,2239,202211
IR,2191,202211
OM,2051,202211
SG,2040,202211
HR,1971,202211
LT,1860,202211
PF,1639,202211
MK,1590,202211
MT,1400,202211
EE,1368,202211
LB,1337,202211
GE,1304,202211
BA,1294,202211
AL,1266,202211
AW,1128,202211
BB,1089,202211
SV,1028,202211
EC,992,202211
JE,949,202211
BY,934,202211
KP,905,202211
EG,884,202211
LK,881,202211
SI,743,202211
BM,589,202211
IQ,527,202211
IM,475,202211
XK,467,202211
GG,457,202211
HN,392,202211
GY,356,202211
MM,349,202211
SK,347,202211
CW,318,202211
VI,317,202211
VE,293,202211
HT,290,202211
MD,286,202211
CU,280,202211
NI,265,202211
VC,249,202211
ME,216,202211
TT,210,202211
GI,205,202211
LY,190,202211
LC,187,202211
GD,187,202211
SY,183,202211
UY,174,202211
TC,164,202211
LA,122,202211
BN,90,202211
AX,65,202211
MQ,52,202211
LS,52,202211
DM,50,202211
NP,49,202211
SZ,39,202211
BQ,20,202211
BO,17,202211
BT,16,202211
PS,9,202211
MV,7,202211
MN,6,202211
TN,6,202211
VG,3,202211
GP,3,202211
FO,3,202211
JO,3,202211
UA,1,202211
US,1268610,201912
AU,93761,201912
CN,86419,201912
IN,84091,201912
GB,79434,201912
DE,79304,201912
CA,65460,201912
JP,61839,201912
BR,56046,201912
IT,55258,201912
ES,54309,201912
FR,53402,201912
RU,52392,201912
TR,44253,201912
TH,39134,201912
MY,36423,201912
AE,29214,201912
KR,26435,201912
PH,23172,201912
SA,21758,201912
NZ,21634,201912
TW,21389,201912
HK,21285,201912
CO,18301,201912
CH,18250,201912
ID,18050,201912
NO,17978,201912
SG,17970,201912
NL,16822,201912
PT,15065,201912
SE,15037,201912
BE,14117,201912
PL,14035,201912
DK,13052,201912
AT,11912,201912
GR,11253,201912
PE,10681,201912
QA,10673,201912
IE,10422,201912
FI,10245,201912
ZA,9220,201912
AR,8677,201912
VN,8548,201912
MX,8245,201912
MA,6998,201912
IL,5811,201912
CZ,5717,201912
HU,5333,201912
RO,5265,201912
UA,4918,201912
RS,4383,201912
KZ,4205,201912
PK,4042,201912
DZ,4029,201912
BH,3818,201912
LV,3233,201912
PR,2957,201912
CR,2932,201912
DO,2758,201912
LU,2733,201912
IR,2730,201912
BY,2466,201912
BG,2330,201912
CY,2199,201912
IS,2136,201912
LT,2112,201912
MT,2053,201912
HR,1977,201912
LK,1958,201912
BO,1784,201912
LB,1767,201912
BD,1697,201912
BA,1589,201912
EG,1571,201912
UZ,1529,201912
BS,1519,201912
PF,1425,201912
OM,1355,201912
BB,1347,201912
LA,1341,201912
EE,1208,201912
SN,1125,201912
NP,1027,201912
EC,972,201912
TT,848,201912
KP,827,201912
AM,823,201912
BM,774,201912
UY,738,201912
ML,707,201912
SI,679,201912
GE,598,201912
GT,544,201912
LC,511,201912
JE,494,201912
VC,398,201912
VI,392,201912
GY,370,201912
GD,361,201912
AL,337,201912
SK,313,201912
IM,298,201912
GI,269,201912
TN,261,201912
KH,255,201912
GM,250,201912
VG,244,201912
VE,235,201912
CU,227,201912
DM,217,201912
NI,208,201912
PS,202,201912
KG,182,201912
MD,160,201912
BW,148,201912
XK,142,201912
GW,131,201912
CV,122,201912
LS,96,201912
MR,95,201912
SY,90,201912
AX,88,201912
SZ,85,201912
CL,81,201912
PY,78,201912
JO,69,201912
GG,67,201912
LY,63,201912
MM,62,201912
MQ,54,201912
GN,52,201912
TJ,49,201912
ME,35,201912
MV,30,201912
GP,23,201912
BN,16,201912
