year_month,Country_Region,Confirmed_cumulative,Deaths_cumulative,Recovered_cumulative,Active_cumulative,Confirmed_monthly_new,Deaths_monthly_new,Recovered_monthly_new,Active_monthly_new
2020-03,Afghanistan,166,4,5,157,-8312.0,-21.0,-8672.0,381.0
2020-04,Afghanistan,1827,60,252,1515,-139574.0,-4997.0,-24743.0,-109834.0
2020-05,Afghanistan,14529,252,1303,12974,207776.0,4606.0,22639.0,180531.0
2020-06,Afghanistan,31324,737,13934,20294,724137.0,14361.0,170108.0,539668.0
2020-07,Afghanistan,36628,1275,25471,16575,1031212.0,32288.0,665352.0,333572.0
2020-08,Afghanistan,38229,1406,29089,10000,1006834.0,38119.0,753147.0,215568.0
2020-09,Afghanistan,39340,1462,32746,7753,944490.0,36445.0,775058.0,132987.0
2020-10,Afghanistan,41268,1532,34258,5478,994426.0,39002.0,815685.0,139739.0
2020-11,Afghanistan,45966,1752,36716,7684,1033043.0,40802.0,812619.0,179622.0
2020-12,Afghanistan,52330,2189,41612,9806,1174815.0,51989.0,906028.0,216798.0
2021-01,Afghanistan,52330,2189,41727,8414,38705.0,1829.0,30573.0,6303.0
2020-03,Albania,243,15,52,176,483.0,32.0,116.0,335.0
2020-04,Albania,766,30,455,289,-8611.0,-96.0,4512.0,-13027.0
2020-05,Albania,1122,33,857,272,-180858.0,-3757.0,-1703.0,-175398.0
2020-06,Albania,2466,58,1438,970,-685938.0,-13305.0,-139810.0,-532823.0
2020-07,Albania,5197,154,2883,2160,-957310.0,-29696.0,-610546.0,-317068.0
2020-08,Albania,9380,280,5139,4031,-937438.0,-35159.0,-721826.0,-180453.0
2020-09,Albania,13518,384,7732,5485,-819283.0,-32821.0,-747568.0,-38894.0
2020-10,Albania,20634,502,11097,9035,-728857.0,-32594.0,-735720.0,39457.0
2020-11,Albania,37625,798,18481,18346,-450043.0,-29609.0,-639693.0,219259.0
2020-12,Albania,57727,1174,33185,23794,-13061.0,-30138.0,-398563.0,415640.0
2021-01,Albania,58316,1181,33634,23501,5986.0,-1008.0,-8093.0,15087.0
2020-03,Algeria,716,44,65,626,1312.0,109.0,129.0,1074.0
2020-04,Algeria,3848,444,1702,1702,47959.0,7718.0,14911.0,25330.0
2020-05,Algeria,9267,646,5549,3162,177497.0,15725.0,84477.0,77295.0
2020-06,Algeria,13571,905,9674,3005,283824.0,22149.0,197095.0,64580.0
2020-07,Algeria,29831,1200,20082,8549,540880.0,29215.0,390639.0,121026.0
2020-08,Algeria,44146,1501,30978,11667,944935.0,35310.0,698252.0,211373.0
2020-09,Algeria,51368,1726,36063,13579,1105242.0,38555.0,824205.0,242482.0
2020-10,Algeria,57651,1956,40014,15748,1161361.0,43355.0,871002.0,247004.0
2020-11,Algeria,82221,2410,53204,26607,1200186.0,45843.0,943723.0,210620.0
2020-12,Algeria,99311,2751,66855,29705,1347384.0,49421.0,1084964.0,212999.0
2021-01,Algeria,99610,2756,67127,29727,41294.0,1575.0,33493.0,6226.0
2020-03,Andorra,376,12,10,354,-936.0,-131.0,-243.0,-562.0
2020-04,Andorra,743,42,423,504,-44889.0,-7536.0,-16946.0,-20407.0
2020-05,Andorra,764,51,692,235,-182527.0,-15189.0,-87556.0,-79782.0
2020-06,Andorra,855,52,799,65,-307886.0,-21797.0,-206116.0,-79973.0
2020-07,Andorra,922,52,806,64,-630695.0,-30810.0,-431963.0,-167922.0
2020-08,Andorra,1124,53,902,169,-1139845.0,-40497.0,-789708.0,-309640.0
2020-09,Andorra,1966,53,1265,648,-1406853.0,-47148.0,-990437.0,-369268.0
2020-10,Andorra,4665,75,3377,1309,-1576858.0,-55091.0,-1105955.0,-415812.0
2020-11,Andorra,6712,76,5794,1275,-1876209.0,-62516.0,-1219294.0,-594399.0
2020-12,Andorra,7983,84,7384,796,-2638948.0,-78437.0,-1681259.0,-879252.0
2021-01,Andorra,8049,84,7432,533,-91561.0,-2672.0,-59695.0,-29194.0
2020-03,Angola,7,2,1,4,-1328.0,-19.0,-14.0,-1295.0
2020-04,Angola,27,2,7,19,-16402.0,-770.0,-4989.0,-10643.0
2020-05,Angola,84,4,18,62,-21899.0,-1426.0,-17824.0,-2649.0
2020-06,Angola,276,11,93,175,-20958.0,-1343.0,-21541.0,1926.0
2020-07,Angola,1109,51,395,729,-7919.0,-736.0,-19505.0,12322.0
2020-08,Angola,2624,107,1335,1454,26523.0,940.0,-4927.0,30510.0
2020-09,Angola,4905,179,1833,2893,64750.0,2603.0,9425.0,52722.0
2020-10,Angola,10558,279,4107,6258,127155.0,5351.0,24519.0,97285.0
2020-11,Angola,15103,346,7763,6994,227165.0,7307.0,51814.0,168044.0
2020-12,Angola,17433,405,10859,7000,276793.0,9159.0,75511.0,192123.0
2021-01,Angola,17553,405,11044,6104,9504.0,321.0,3612.0,5571.0
2020-03,Antarctica,0,0,0,0,-24.0,-2.0,-1.0,-21.0
2020-04,Antarctica,0,0,0,0,-540.0,-52.0,-117.0,-371.0
2020-05,Antarctica,0,0,0,0,-1580.0,-83.0,-455.0,-1042.0
2020-06,Antarctica,0,0,0,0,-4462.0,-201.0,-1593.0,-2668.0
2020-07,Antarctica,0,0,0,0,-19185.0,-876.0,-5364.0,-12945.0
2020-08,Antarctica,0,0,0,0,-57654.0,-2571.0,-21649.0,-33434.0
2020-09,Antarctica,0,0,0,0,-109151.0,-4193.0,-41029.0,-63929.0
2020-10,Antarctica,0,0,0,0,-227516.0,-7224.0,-91594.0,-128698.0
2020-11,Antarctica,0,0,0,0,-400083.0,-9572.0,-192764.0,-197747.0
2020-12,Antarctica,0,0,0,0,-505604.0,-11629.0,-283558.0,-210417.0
2021-01,Antarctica,0,0,0,0,-17553.0,-405.0,-11044.0,-6104.0
2020-03,Antigua and Barbuda,7,0,0,7,30.0,0.0,0.0,30.0
2020-04,Antigua and Barbuda,24,3,11,21,554.0,59.0,114.0,381.0
2020-05,Antigua and Barbuda,25,3,19,10,774.0,93.0,553.0,128.0
2020-06,Antigua and Barbuda,69,3,22,44,983.0,90.0,626.0,267.0
2020-07,Antigua and Barbuda,91,3,67,44,2344.0,93.0,1506.0,745.0
2020-08,Antigua and Barbuda,94,3,91,21,2878.0,93.0,2534.0,251.0
2020-09,Antigua and Barbuda,101,3,92,6,2879.0,90.0,2742.0,47.0
2020-10,Antigua and Barbuda,127,3,116,18,3559.0,93.0,3138.0,328.0
2020-11,Antigua and Barbuda,141,4,130,9,4034.0,106.0,3732.0,196.0
2020-12,Antigua and Barbuda,158,5,148,8,4638.0,142.0,4325.0,171.0
2021-01,Antigua and Barbuda,159,5,148,6,159.0,5.0,148.0,6.0
2020-03,Argentina,1054,27,240,787,3155.0,67.0,506.0,2582.0
2020-04,Argentina,4285,214,1192,2879,68456.0,3078.0,17360.0,48018.0
2020-05,Argentina,16214,528,4788,10898,262359.0,11148.0,80296.0,170915.0
2020-06,Argentina,62268,1280,21138,39850,1042590.0,25917.0,317839.0,698834.0
2020-07,Argentina,185373,3441,80596,101336,3599655.0,66894.0,1493529.0,2039232.0
2020-08,Argentina,408426,8457,294007,140862,9014852.0,178764.0,5809921.0,3026167.0
2020-09,Argentina,736609,16519,585857,134233,17209837.0,363362.0,13117751.0,3728724.0
2020-10,Argentina,1157179,30792,961101,174335,29503027.0,781042.0,23867178.0,4854807.0
2020-11,Argentina,1418807,38473,1249843,161983,39045652.0,1054858.0,33625296.0,4365498.0
2020-12,Argentina,1613928,43163,1426676,147855,46931169.0,1273374.0,41602805.0,4054990.0
2021-01,Argentina,1625514,43245,1426676,155593,1625355.0,43240.0,1426528.0,155587.0
2020-03,Armenia,532,3,30,499,-1285.0,-62.0,-398.0,-825.0
2020-04,Armenia,1932,30,900,1002,-36831.0,-2664.0,-6425.0,-27742.0
2020-05,Armenia,8927,127,3317,5483,-118904.0,-9328.0,-19765.0,-89811.0
2020-06,Armenia,25127,433,13297,11397,-538866.0,-17574.0,-106682.0,-414610.0
2020-07,Armenia,38196,728,28366,12143,-2588544.0,-48581.0,-838265.0,-1701698.0
2020-08,Armenia,43750,877,37650,8815,-7736872.0,-153604.0,-4761550.0,-2821718.0
2020-09,Armenia,49901,958,43849,5180,-15820935.0,-335895.0,-11874922.0,-3610118.0
2020-10,Armenia,87432,1300,54316,31816,-27533625.0,-747773.0,-22390747.0,-4395105.0
2020-11,Armenia,134768,2142,107364,40976,-35614483.0,-1002713.0,-31286897.0,-3324873.0
2020-12,Armenia,158878,2807,141844,24518,-42323877.0,-1195470.0,-37677072.0,-3451335.0
2021-01,Armenia,159409,2823,142801,13785,-1466105.0,-40422.0,-1283875.0,-141808.0
2020-03,Australia,4559,18,358,4183,14702.0,62.0,973.0,13667.0
2020-04,Australia,6752,91,5715,4895,132434.0,1157.0,67757.0,63520.0
2020-05,Australia,7192,103,6614,931,72960.0,1148.0,133528.0,-61716.0
2020-06,Australia,7834,104,7037,693,-282814.0,-5359.0,-7105.0,-270350.0
2020-07,Australia,16903,196,9759,6948,-661092.0,-14507.0,-403379.0,-243206.0
2020-08,Australia,25746,652,18122,12374,-578306.0,-12703.0,-677643.0,112060.0
2020-09,Australia,27078,886,21623,6806,-592159.0,-3313.0,-634009.0,45163.0
2020-10,Australia,27585,907,22173,4581,-1125096.0,-5432.0,-800194.0,-319470.0
2020-11,Australia,27902,908,22411,4589,-2603006.0,-25040.0,-1672599.0,-905366.0
2020-12,Australia,28405,909,22564,4932,-3740397.0,-49894.0,-3232725.0,-457778.0
2021-01,Australia,28425,909,22565,4951,-130984.0,-1914.0,-120236.0,-8834.0
2020-03,Austria,9264,134,1095,8957,16670.0,294.0,378.0,22864.0
2020-04,Austria,15353,621,12779,9334,198052.0,9837.0,142184.0,50901.0
2020-05,Austria,16568,739,15520,1961,279312.0,18585.0,250090.0,15592.0
2020-06,Austria,17567,808,16420,600,289181.0,20137.0,275994.0,-714.0
2020-07,Austria,20771,847,18628,1609,239215.0,21766.0,283558.0,-56906.0
2020-08,Austria,26894,903,23070,3386,19012.0,14692.0,267276.0,-250143.0
2020-09,Austria,43492,992,34916,8590,226639.0,3881.0,227090.0,16262.0
2020-10,Austria,96420,1388,64987,33507,1097453.0,7349.0,810743.0,320694.0
2020-11,Austria,274763,3948,216998,77130,4897471.0,46893.0,3218518.0,1790625.0
2020-12,Austria,353088,7403,330990,57580,9054240.0,154617.0,8108014.0,970663.0
2021-01,Austria,356063,7486,332952,21641,327638.0,6577.0,310387.0,16690.0
2020-03,Azerbaijan,298,5,26,267,-32435.0,-346.0,-1373.0,-37582.0
2020-04,Azerbaijan,1766,23,1267,847,-330678.0,-11079.0,-206356.0,-118113.0
2020-05,Azerbaijan,5246,61,3327,1858,-398631.0,-20458.0,-381123.0,-2005.0
2020-06,Azerbaijan,16968,206,9369,7393,-196555.0,-19422.0,-306515.0,123146.0
2020-07,Azerbaijan,31560,441,25168,8651,188912.0,-15493.0,-12694.0,207896.0
2020-08,Azerbaijan,36309,531,33703,5548,339245.0,-11766.0,323470.0,14708.0
2020-09,Azerbaijan,40119,590,37827,2094,126284.0,-11210.0,238594.0,-121694.0
2020-10,Azerbaijan,54174,718,42996,10460,-556625.0,-15721.0,-252993.0,-329244.0
2020-11,Azerbaijan,118195,1361,73676,43158,-3361284.0,-44516.0,-2211619.0,-1263715.0
2020-12,Azerbaijan,217636,2609,180295,62427,-4394228.0,-120620.0,-5021789.0,569127.0
2021-01,Azerbaijan,218700,2641,184422,31637,-137363.0,-4845.0,-148530.0,9996.0
2020-03,Bahamas,14,0,1,13,-790.0,-15.0,-81.0,-694.0
2020-04,Bahamas,80,11,23,52,-30571.0,-174.0,-14383.0,-16014.0
2020-05,Bahamas,102,11,48,55,-94958.0,-847.0,-62401.0,-31710.0
2020-06,Bahamas,104,11,87,43,-311421.0,-3459.0,-172072.0,-135890.0
2020-07,Bahamas,508,14,91,403,-774557.0,-9828.0,-521462.0,-243267.0
2020-08,Bahamas,2167,50,782,1509,-1021247.0,-14790.0,-957387.0,-49070.0
2020-09,Bahamas,3903,91,2072,1744,-1061347.0,-14856.0,-1034312.0,-12179.0
2020-10,Bahamas,6644,142,4257,2343,-1220945.0,-15994.0,-1138826.0,-66125.0
2020-11,Bahamas,7517,163,5867,2148,-2153493.0,-24886.0,-1519194.0,-609413.0
2020-12,Bahamas,7857,170,6221,1499,-5293323.0,-57031.0,-3595291.0,-1641001.0
2021-01,Bahamas,7871,170,6230,1471,-210829.0,-2471.0,-178192.0,-30166.0
2020-03,Bahrain,567,4,295,268,2632.0,21.0,1239.0,1372.0
2020-04,Bahrain,2921,8,1455,1497,42133.0,-44.0,19952.0,22225.0
