year_month,Country_Region,Confirmed_cumulative,Deaths_cumulative,Recovered_cumulative,Active_cumulative,Confirmed_monthly_new,Deaths_monthly_new,Recovered_monthly_new,Active_monthly_new
2023-01,Afghanistan,208502,7879,,,-2824881,71695,,
2023-02,Afghanistan,417714,15792,,,-1515377,62576,,
2023-03,Afghanistan,209451,7896,,,-547122,22287,,
2023-01,Albania,334157,3596,,,3780422,-127924,,
2023-02,Albania,668458,7192,,,3508742,-120348,,
2023-03,Albania,334457,3598,,,1250357,-42980,,
2023-01,Algeria,271376,6881,,,-1881605,98552,,
2023-02,Algeria,542812,13762,,,-1759958,91968,,
2023-03,Algeria,271496,6881,,,-629518,32830,,
2023-01,Andorra,47839,165,,,-6705088,-201480,,
2023-02,Andorra,95720,330,,,-6259538,-188048,,
2023-03,Andorra,47890,165,,,-2235953,-67160,,
2023-01,Angola,105184,1931,,,1719638,52957,,
2023-02,Angola,210368,3862,,,1605299,49450,,
2023-03,Angola,105288,1933,,,573999,17680,,
2023-01,Antarctica,11,0,,,-3153143,-57907,,
2023-02,Antarctica,22,0,,,-2945020,-54070,,
2023-03,Antarctica,11,0,,,-1052660,-19330,,
2023-01,Antigua and Barbuda,9106,146,,,272850,4380,,
2023-02,Antigua and Barbuda,18212,292,,,254660,4088,,
2023-03,Antigua and Barbuda,9106,146,,,90950,1460,,
2023-01,Argentina,10037135,130421,,,299831354,3904229,,
2023-02,Argentina,20080658,260874,,,280892378,3648302,,
2023-03,Argentina,10044957,130472,,,100353518,1303206,,
2023-01,Armenia,446008,8717,,,-286724774,-3647114,,
2023-02,Armenia,892664,17438,,,-268649743,-3408262,,
2023-03,Armenia,447308,8727,,,-95975410,-1217444,,
2023-01,Australia,11295446,18615,,,323713076,271740,,
2023-02,Australia,22658242,38133,,,304854249,290036,,
2023-03,Australia,11399460,19574,,,109361119,107310,,
2023-01,Austria,5776747,21662,,,-164817250,113643,,
2023-02,Austria,11625407,43546,,,-153866803,76025,,
2023-03,Austria,5961143,21970,,,-54454543,24678,,
2023-01,Azerbaijan,827909,10081,,,-147457384,-345480,,
2023-02,Azerbaijan,1656369,20195,,,-140294096,-327363,,
2023-03,Azerbaijan,828825,10138,,,-51088772,-117928,,
2023-01,Bahamas,37491,833,,,-23693472,-276408,,
2023-02,Bahamas,74982,1666,,,-22141205,-259502,,
2023-03,Bahamas,37491,833,,,-7912062,-92952,,
2023-01,Bahrain,700452,1543,,,19863769,21214,,
2023-02,Bahrain,1401670,3088,,,18616990,19943,,
2023-03,Bahrain,710693,1553,,,6715076,7184,,
2023-01,Bangladesh,2037543,29442,,,40132174,837017,,
2023-02,Bangladesh,4075319,58888,,,37388446,781169,,
2023-03,Bangladesh,2037871,29445,,,13288332,278936,,
2023-01,Barbados,106157,571,,,-57944879,-866145,,
2023-02,Barbados,212868,1146,,,-54075494,-808392,,
2023-03,Barbados,106798,579,,,-19311715,-288696,,
2023-01,Belarus,994037,7118,,,26645316,196464,,
2023-02,Belarus,1988074,14236,,,24853346,183260,,
2023-03,Belarus,994037,7118,,,8873767,65426,,
2023-01,Belgium,4691499,33557,,,110710533,789943,,
2023-02,Belgium,9401898,67232,,,103863288,742375,,
2023-03,Belgium,4739365,33814,,,37328870,266493,,
2023-01,Belize,70660,688,,,-138419494,-982843,,
2023-02,Belize,141394,1376,,,-129716538,-922415,,
2023-03,Belize,70757,688,,,-46561670,-330793,,
2023-01,Benin,27989,163,,,-1272584,-15750,,
2023-02,Benin,55980,326,,,-1196074,-14700,,
2023-03,Benin,27999,163,,,-427643,-5250,,
2023-01,Bhutan,62605,21,,,1037384,-4260,,
2023-02,Bhutan,125216,42,,,969363,-3976,,
2023-03,Bhutan,62627,21,,,346282,-1420,,
2023-01,Bolivia,1187685,22345,,,33458895,669279,,
2023-02,Bolivia,2381022,44708,,,31594788,625398,,
2023-03,Bolivia,1194277,22365,,,11311350,223440,,
2023-01,Bosnia and Herzegovina,401381,16254,,,-23299881,-182656,,
2023-02,Bosnia and Herzegovina,802937,32522,,,-22106159,-170554,,
2023-03,Bosnia and Herzegovina,401729,16280,,,-7921074,-60859,,
2023-01,Botswana,329227,2876,,,-2182784,-403224,,
2023-02,Botswana,658988,5602,,,-2015358,-377010,,
2023-03,Botswana,329758,2801,,,-719122,-134781,,
2023-01,Brazil,36807814,696892,,,1088574815,20781047,,
2023-02,Brazil,73822824,1395283,,,1025101919,19463022,,
2023-03,Brazil,37081209,699276,,,367430340,6964403,,
2023-01,Brunei,275220,225,,,-1090260163,-20858326,,
2023-02,Brunei,553650,450,,,-1026571299,-19535144,,
2023-03,Brunei,279661,225,,,-367939503,-6990163,,
2023-01,Bulgaria,1295366,38179,,,30655672,1137589,,
2023-02,Bulgaria,2591578,76386,,,28531664,1063221,,
2023-03,Bulgaria,1297523,38228,,,10183099,379952,,
2023-01,Burkina Faso,22025,396,,,-38162909,-1132469,,
2023-02,Burkina Faso,44050,792,,,-35671465,-1058433,,
2023-03,Burkina Faso,22056,396,,,-12750739,-378242,,
2023-01,Burma,633819,19490,,,18352132,572830,,
2023-02,Burma,1267722,38980,,,17131232,534632,,
2023-03,Burma,633950,19490,,,6118839,190940,,
2023-01,Burundi,53355,38,,,-17443045,-583560,,
2023-02,Burundi,107148,76,,,-16248663,-544656,,
2023-03,Burundi,53631,38,,,-5803111,-194520,,
2023-01,Cabo Verde,63229,413,,,326856,11225,,
2023-02,Cabo Verde,126470,826,,,270858,10500,,
2023-03,Cabo Verde,63244,413,,,96152,3750,,
2023-01,Cambodia,138691,3056,,,2263042,79315,,
2023-02,Cambodia,277403,6112,,,2113127,74004,,
2023-03,Cambodia,138719,3056,,,754746,26430,,
2023-01,Cameroon,123993,1965,,,-439789,-32730,,
2023-02,Cameroon,247986,3930,,,-409171,-30548,,
2023-03,Cameroon,124392,1965,,,-143266,-10910,,
2020-12,Canada,884,68,,,884,68,,
