year_month,Country_Region,Confirmed_cumulative,Deaths_cumulative,Recovered_cumulative,Active_cumulative,Confirmed_monthly_new,Deaths_monthly_new,Recovered_monthly_new,Active_monthly_new
2020-08,US,55480,1095,0.0,9685.0,-55480,-1095,0.0,-9685.0
2020-12,US,74580,256,0.0,52159.0,4399,-293,-2808.0,9072.0
2021-01,US,26243105,444661,0.0,25755319.0,708068861,11929140,0.0,694805601.0
2021-02,US,28711052,510730,0.0,28155068.0,774886140,13479982,0.0,760188694.0
2021-03,US,30509372,547269,0.0,28568199.0,918264889,16491381,0.0,198681889.0
2021-04,US,32410180,571353,0.0,42513.0,946305985,16813826,0.0,42513.0
2021-05,US,33379941,590076,,,1022903801,18020643,,
2021-06,US,35909045,632648,,,1007748861,17882413,,
2021-07,US,35062519,609300,,,1060339611,18737371,,
2021-08,US,39214860,636320,,,1147008936,19229659,,
2021-09,US,43429302,694062,,,1246450948,19942696,,
2021-10,US,46018752,744623,,,1390792328,22362463,,
2021-11,US,48488159,777786,,,1417766222,22879096,,
2021-12,US,54390968,824695,,,1572712004,24873235,,
2022-01,US,54903011,825426,,,54903011,825426,,
